UNICODE,P,D,L,V,CICLO_ROCIADO ,STATUS
1.4.16.360,1,4,16,360,2,R
1.4.16.368,1,4,16,368,2,R
1.4.16.376,1,4,16,376,2,R
1.4.16.377,1,4,16,377,2,R
1.4.16.379,1,4,16,379,2,R
1.4.16.381,1,4,16,381,2,R
1.4.16.385,1,4,16,385,2,R
1.4.16.386,1,4,16,386,2,R
1.4.16.387,1,4,16,387,2,R
1.4.16.397,1,4,16,397,2,R
1.4.16.445,1,4,16,445,2,R
1.4.16.446,1,4,16,446,2,R
1.4.16.445A,1,4,16,445A,2,R
1.4.16.445B,1,4,16,445B,2,R
1.4.16.446A,1,4,16,446A,2,R
1.4.16.446B,1,4,16,446B,2,R
1.4.16.461,1,4,16,461,2,R
1.4.16.462,1,4,16,462,2,R
1.4.16.471,1,4,16,471,2,R
1.4.16.474,1,4,16,474,2,R
1.4.16.195C,1,4,16,195C,2,R
1.4.16.475B,1,4,16,475B,2,R
1.4.16.116,1,4,16,116,2,LP
1.4.14.178,1,4,14,178,2,C
1.4.14.179,1,4,14,179,2,C
1.4.14.180,1,4,14,180,2,C
1.4.14.183,1,4,14,183,2,C
1.4.14.195A,1,4,14,195A,2,C
1.4.14.217,1,4,14,217,2,C
1.4.14.227,1,4,14,227,2,C
1.4.14.237,1,4,14,237,2,C
1.4.14.373,1,4,14,373,2,C
1.4.14.375,1,4,14,375,2,C
1.4.14.376,1,4,14,376,2,C
1.4.14.384,1,4,14,384,2,C
1.4.14.542,1,4,14,542,2,C
1.4.14.174,1,4,14,174,2,R
1.4.14.204,1,4,14,204,2,R
1.4.14.216A,1,4,14,216A,2,R
1.4.14.374,1,4,14,374,2,R
1.4.14.382,1,4,14,382,2,R
1.4.14.543,1,4,14,543,2,R
1.4.14.544,1,4,14,544,2,R
1.4.15.43,1,4,15,43,2,C
1.4.15.63,1,4,15,63,2,C
1.4.15.64,1,4,15,64,2,C
1.4.15.163,1,4,15,163,2,C
1.4.15.169,1,4,15,169,2,C
1.4.15.16,1,4,15,16,2,R
1.4.15.17,1,4,15,17,2,R
1.4.15.154,1,4,15,154,2,R
1.4.15.158,1,4,15,158,2,R
1.4.15.165,1,4,15,165,2,R
1.4.15.174,1,4,15,174,2,R
1.4.45.181,1,4,45,181,2,C
1.4.45.114,1,4,45,114,2,R
1.4.45.119,1,4,45,119,2,R
1.4.45.133,1,4,45,133,2,R
1.4.45.173,1,4,45,173,2,R
1.4.45.120,1,4,45,120,2,LP
1.4.41.269A,1,4,41,269A,2,C
1.4.41.271,1,4,41,271,2,C
1.4.41.285,1,4,41,285,2,C
1.4.41.289,1,4,41,289,2,C
1.4.41.282C,1,4,41,282C,2,C
1.4.41.291,1,4,41,291,2,C
1.4.41.296A,1,4,41,296A,2,C
1.4.41.373,1,4,41,373,2,C
1.4.41.373A,1,4,41,373A,2,C
1.4.41.373B,1,4,41,373B,2,C
1.4.41.393,1,4,41,393,2,C
1.4.41.394,1,4,41,394,2,C
1.4.41.399,1,4,41,399,2,C
1.4.41.435,1,4,41,435,2,C
1.4.41.436,1,4,41,436,2,C
1.4.41.444,1,4,41,444,2,C
1.4.41.451,1,4,41,451,2,C
1.4.41.453,1,4,41,453,2,C
1.4.41.454,1,4,41,454,2,C
1.4.41.458,1,4,41,458,2,C
1.4.41.272,1,4,41,272,2,R
1.4.41.278,1,4,41,278,2,R
1.4.41.281,1,4,41,281,2,R
1.4.41.293,1,4,41,293,2,R
1.4.41.295,1,4,41,295,2,R
1.4.41.295A,1,4,41,295A,2,R
1.4.41.299B,1,4,41,299B,2,R
1.4.41.299D,1,4,41,299D,2,R
1.4.41.300,1,4,41,300,2,R
1.4.41.302,1,4,41,302,2,R
1.4.41.303A,1,4,41,303A,2,R
1.4.41.305,1,4,41,305,2,R
1.4.41.308,1,4,41,308,2,R
1.4.41.313,1,4,41,313,2,R
1.4.41.313A,1,4,41,313A,2,R
1.4.41.380,1,4,41,380,2,R
1.4.41.385,1,4,41,385,2,R
1.4.41.400,1,4,41,400,2,R
1.4.41.409,1,4,41,409,2,R
1.4.41.419,1,4,41,419,2,R
1.4.21.320,1,4,21,320,2,C
1.4.21.329,1,4,21,329,2,C
1.4.21.339,1,4,21,339,2,C
1.4.21.340,1,4,21,340,2,C
1.4.21.354,1,4,21,354,2,C
1.4.21.365,1,4,21,365,2,C
1.4.21.390,1,4,21,390,2,C
1.4.21.331,1,4,21,331,2,C
1.4.21.292,1,4,21,292,2,R
1.4.21.299,1,4,21,299,2,R
1.4.21.300,1,4,21,300,2,R
1.4.21.315,1,4,21,315,2,R
1.4.21.410,1,4,21,410,2,R
1.4.21.416,1,4,21,416,2,R
1.4.37.73,1,4,37,73,2,C
1.4.37.83,1,4,37,83,2,C
1.4.37.96,1,4,37,96,2,C
1.4.37.111,1,4,37,111,2,C
1.4.37.115,1,4,37,115,2,C
1.4.37.80,1,4,37,80,2,R
1.4.37.93B,1,4,37,93B,2,R
1.4.17.161,1,4,17,161,2,C
1.4.17.162,1,4,17,162,2,C
1.4.17.165,1,4,17,165,2,C
1.4.17.177,1,4,17,177,2,C
1.4.17.271,1,4,17,271,2,C
1.4.17.287,1,4,17,287,2,C
1.4.17.288,1,4,17,288,2,C
1.4.17.321,1,4,17,321,2,C
1.4.17.282A,1,4,17,282A,2,C
1.4.17.284,1,4,17,284,2,C
1.4.17.302,1,4,17,302,2,C
1.4.17.136,1,4,17,136,2,R
1.4.17.276,1,4,17,276,2,R
1.4.17.282,1,4,17,282,2,R
1.4.40.37,1,4,40,37,2,C
1.4.40.80,1,4,40,80,2,C
1.4.40.83,1,4,40,83,2,C
1.4.40.357,1,4,40,357,2,C
1.4.40.28,1,4,40,28,2,R
1.4.40.29,1,4,40,29,2,R
1.4.40.41,1,4,40,41,2,R
1.4.40.52,1,4,40,52,2,R
1.4.40.53,1,4,40,53,2,R
1.4.40.54,1,4,40,54,2,R
1.4.40.55,1,4,40,55,2,R
1.4.40.56,1,4,40,56,2,R
1.4.40.60,1,4,40,60,2,R
1.4.40.67,1,4,40,67,2,R
1.4.40.78A,1,4,40,78A,2,R
1.4.40.79,1,4,40,79,2,R
1.4.40.87,1,4,40,87,2,R
1.4.40.103,1,4,40,103,2,R
1.4.40.173,1,4,40,173,2,R
1.4.40.205,1,4,40,205,2,R
1.4.40.254,1,4,40,254,2,R
1.4.40.261,1,4,40,261,2,R
1.4.40.367,1,4,40,367,2,R
1.4.40.179,1,4,40,179,2,LP
1.4.47.282,1,4,47,282,2,C
1.4.47.283,1,4,47,283,2,C
1.4.47.284,1,4,47,284,2,C
1.4.47.292,1,4,47,292,2,C
1.4.47.293,1,4,47,293,2,C
1.4.47.311,1,4,47,311,2,C
1.4.47.312,1,4,47,312,2,C
1.4.47.313,1,4,47,313,2,C
1.4.47.298B,1,4,47,298B,2,C
1.4.47.349,1,4,47,349,2,C
1.4.47.354,1,4,47,354,2,C
1.4.47.355,1,4,47,355,2,C
1.4.47.559,1,4,47,559,2,C
1.4.47.562,1,4,47,562,2,C
1.4.47.752,1,4,47,752,2,C
1.4.47.753,1,4,47,753,2,C
1.4.47.754,1,4,47,754,2,C
1.4.47.766,1,4,47,766,2,C
1.4.47.705,1,4,47,705,2,C
1.4.47.878,1,4,47,878,2,C
1.4.47.888,1,4,47,888,2,C
1.4.47.882A,1,4,47,882A,2,C
1.4.47.1092,1,4,47,1092,2,C
1.4.47.289,1,4,47,289,2,R
1.4.47.295,1,4,47,295,2,R
1.4.47.296,1,4,47,296,2,R
1.4.47.307,1,4,47,307,2,R
1.4.47.310,1,4,47,310,2,R
1.4.47.314,1,4,47,314,2,R
1.4.47.288A,1,4,47,288A,2,R
1.4.47.288B,1,4,47,288B,2,R
1.4.47.288C,1,4,47,288C,2,R
1.4.47.299A,1,4,47,299A,2,R
1.4.47.318,1,4,47,318,2,R
1.4.47.329,1,4,47,329,2,R
1.4.47.330,1,4,47,330,2,R
1.4.47.331,1,4,47,331,2,R
1.4.47.336,1,4,47,336,2,R
1.4.47.337,1,4,47,337,2,R
1.4.47.338,1,4,47,338,2,R
1.4.47.340,1,4,47,340,2,R
1.4.47.341,1,4,47,341,2,R
1.4.47.342,1,4,47,342,2,R
1.4.47.348,1,4,47,348,2,R
1.4.47.353,1,4,47,353,2,R
1.4.47.330A,1,4,47,330A,2,R
1.4.47.554,1,4,47,554,2,R
1.4.47.567,1,4,47,567,2,R
1.4.47.571,1,4,47,571,2,R
1.4.47.572,1,4,47,572,2,R
1.4.47.549C,1,4,47,549C,2,R
1.4.47.737,1,4,47,737,2,R
1.4.47.745,1,4,47,745,2,R
1.4.47.750,1,4,47,750,2,R
1.4.47.751,1,4,47,751,2,R
1.4.47.756,1,4,47,756,2,R
1.4.47.771,1,4,47,771,2,R
1.4.47.775,1,4,47,775,2,R
1.4.47.740B,1,4,47,740B,2,R
1.4.47.679,1,4,47,679,2,R
1.4.47.695,1,4,47,695,2,R
1.4.47.700,1,4,47,700,2,R
1.4.47.871,1,4,47,871,2,R
1.4.47.875,1,4,47,875,2,R
1.4.47.884,1,4,47,884,2,R
1.4.47.906,1,4,47,906,2,R
1.4.47.916,1,4,47,916,2,R
1.4.47.917,1,4,47,917,2,R
1.4.47.923,1,4,47,923,2,R
1.4.47.1095,1,4,47,1095,2,R
1.4.47.1098,1,4,47,1098,2,R
1.4.47.1099,1,4,47,1099,2,R
1.4.47.1106,1,4,47,1106,2,R
1.4.47.1113,1,4,47,1113,2,R
1.4.47.1114,1,4,47,1114,2,R
1.4.47.1115,1,4,47,1115,2,R
1.4.47.1127,1,4,47,1127,2,R
1.4.47.1138,1,4,47,1138,2,R
1.4.47.339,1,4,47,339,2,R
1.4.47.702,1,4,47,702,2,D
1.4.96.470,1,4,96,470,2,C
1.4.96.473,1,4,96,473,2,C
1.4.96.513,1,4,96,513,2,C
1.4.96.514,1,4,96,514,2,C
1.4.96.519,1,4,96,519,2,C
1.4.96.521,1,4,96,521,2,C
1.4.96.525,1,4,96,525,2,C
1.4.96.528,1,4,96,528,2,C
1.4.96.532,1,4,96,532,2,C
1.4.96.545,1,4,96,545,2,C
1.4.96.454,1,4,96,454,2,R
1.4.96.469,1,4,96,469,2,R
1.4.96.472,1,4,96,472,2,R
1.4.96.456A,1,4,96,456A,2,R
1.4.96.459A,1,4,96,459A,2,R
1.4.96.459B,1,4,96,459B,2,R
1.4.96.484,1,4,96,484,2,R
1.4.96.489,1,4,96,489,2,R
1.4.96.490,1,4,96,490,2,R
1.4.96.493,1,4,96,493,2,R
1.4.96.492A,1,4,96,492A,2,R
1.4.96.495,1,4,96,495,2,R
1.4.96.496,1,4,96,496,2,R
1.4.96.498,1,4,96,498,2,R
1.4.96.500,1,4,96,500,2,R
1.4.96.501,1,4,96,501,2,R
1.4.96.507,1,4,96,507,2,R
1.4.96.509,1,4,96,509,2,R
1.4.96.496A,1,4,96,496A,2,R
1.4.96.497A,1,4,96,497A,2,R
1.4.96.503A,1,4,96,503A,2,R
1.4.96.511,1,4,96,511,2,R
1.4.96.512,1,4,96,512,2,R
1.4.96.515,1,4,96,515,2,R
1.4.96.516,1,4,96,516,2,R
1.4.96.529,1,4,96,529,2,R
1.4.96.530,1,4,96,530,2,R
1.4.96.531,1,4,96,531,2,R
1.4.96.533,1,4,96,533,2,R
1.4.96.534,1,4,96,534,2,R
1.4.96.549,1,4,96,549,2,R
1.4.96.550,1,4,96,550,2,R
1.4.96.463,1,4,96,463,1,C
1.4.96.464,1,4,96,464,1,C
1.4.96.468,1,4,96,468,1,C
1.4.96.470,1,4,96,470,1,C
1.4.96.471,1,4,96,471,1,C
1.4.96.472,1,4,96,472,1,C
1.4.96.473,1,4,96,473,1,C
1.4.96.476,1,4,96,476,1,C
1.4.96.477,1,4,96,477,1,C
1.4.96.480,1,4,96,480,1,C
1.4.96.483,1,4,96,483,1,C
1.4.96.487,1,4,96,487,1,C
1.4.96.489,1,4,96,489,1,C
1.4.96.490,1,4,96,490,1,C
1.4.96.492,1,4,96,492,1,C
1.4.96.493,1,4,96,493,1,C
1.4.96.496,1,4,96,496,1,C
1.4.96.504,1,4,96,504,1,C
1.4.96.505,1,4,96,505,1,C
1.4.96.506,1,4,96,506,1,C
1.4.96.507,1,4,96,507,1,C
1.4.96.512,1,4,96,512,1,C
1.4.96.524,1,4,96,524,1,C
1.4.96.529,1,4,96,529,1,C
1.4.96.530,1,4,96,530,1,C
1.4.96.531,1,4,96,531,1,C
1.4.96.549,1,4,96,549,1,C
1.4.96.550,1,4,96,550,1,C
1.4.96.461,1,4,96,461,1,R
1.4.96.499,1,4,96,499,1,R
1.4.96.500,1,4,96,500,1,R
1.4.96.516,1,4,96,516,1,R
1.4.96.516A,1,4,96,516A,1,R
1.4.96.516B,1,4,96,516B,1,R
1.4.96.516C,1,4,96,516C,1,R
1.4.96.533,1,4,96,533,1,R
1.4.96.521,1,4,96,521,1,D
1.4.236.245,1,4,236,245,1,C
1.4.236.248,1,4,236,248,1,C
1.4.236.251,1,4,236,251,1,C
1.4.236.267,1,4,236,267,1,C
1.4.236.293,1,4,236,293,1,C
1.4.236.294,1,4,236,294,1,C
1.4.236.296,1,4,236,296,1,C
1.4.236.297,1,4,236,297,1,C
1.4.236.309,1,4,236,309,1,C
1.4.236.332,1,4,236,332,1,C
1.4.236.344,1,4,236,344,1,C
1.4.236.345,1,4,236,345,1,C
1.4.236.354,1,4,236,354,1,C
1.4.236.356,1,4,236,356,1,C
1.4.236.367,1,4,236,367,1,C
1.4.236.379,1,4,236,379,1,C
1.4.236.409,1,4,236,409,1,C
1.4.236.411,1,4,236,411,1,C
1.4.236.410,1,4,236,410,1,C
1.4.236.413,1,4,236,413,1,C
1.4.236.416,1,4,236,416,1,C
1.4.236.417,1,4,236,417,1,C
1.4.236.292,1,4,236,292,1,R
1.4.236.300,1,4,236,300,1,R
1.4.236.319,1,4,236,319,1,R
1.4.236.350,1,4,236,350,1,R
1.4.236.357,1,4,236,357,1,R
1.4.236.358,1,4,236,358,1,R
1.4.236.365,1,4,236,365,1,R
1.4.236.394,1,4,236,394,1,R
1.4.236.396,1,4,236,396,1,R
1.4.236.398,1,4,236,398,1,R
1.4.236.423,1,4,236,423,1,R
1.4.236.428,1,4,236,428,1,R
1.4.236.436,1,4,236,436,1,R
1.4.236.427,1,4,236,427,1,DES
